,_id,geoid,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,ED_PRXECE,ED_PRXHQECE,ED_ECENROL,ED_READING,ED_MATH,ED_HSGRAD,ED_APENR,ED_COLLEGE,ED_SCHPOV,ED_TEACHXP,ED_ATTAIN,HE_FOOD,HE_GREEN,HE_WALK,HE_VACANCY,HE_SUPRFND,HE_RSEI,HE_PM25,HE_OZONE,HE_HEAT,HE_HLTHINS,SE_EMPRAT,SE_JOBPROX,SE_POVRATE,SE_PUBLIC,SE_HOME,SE_OCC,SE_MHE,SE_SINGLE,ctfips,latitude,longitude
1775,130397,48439105405,2015,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48439,48,TX,630,4.7793698,1.0716504999999998,17.6,220.53949,251.17552,84.169464,0.8123489263507696,38.7327082852013,33.571796,8.766573,45.38673019,6.107097753287901,32.5,15.042283713817598,14.00169182,-13.815510999999999,6.2993540999999995,10.05779753424658,39.381695616438314,110.33333999999999,80.88137817000002,81.30081177,1.30065036,13.15350342,8.1160841,23.36448669,40.94449997,49488.0,65.26316071,48439105405,32.700509999999994,-97.40155
1776,130398,48439105406,2010,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48439,48,TX,1037,4.5732374,0.6753241999999999,49.7,198.58084,207.57478,65.840637,0.4839471173315896,36.2597656308296,53.006195,0.56727225,53.33508301,1.0532344,32.8,11.909004926681519,9.70756721,-13.815510999999999,6.738115299999999,9.5674740739726,40.25139651232876,126.66666000000001,87.48671722,85.74288940000001,2.18681645,6.26953459,2.0,22.30508423,49.60843277,60486.0,44.82758713,48439105406,32.69813,-97.42538
1777,130399,48439105406,2015,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48439,48,TX,537,4.678083900000001,0.87585276,100.0,191.64258,220.05917000000002,74.335526,0.615739246175337,36.9136645208021,57.64011800000001,10.316586000000001,59.59989929,1.0051335628278,32.8,11.909004926681519,7.10915422,-13.815510999999999,6.1906552,10.02781917808219,39.459609315068505,110.33333999999999,88.72320557000002,85.49069213999998,6.0666666,10.45126057,1.76092112,26.37995148,64.26062012,59367.0,42.95774841,48439105406,32.69813,-97.42538
1778,130400,48439105502,2010,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48439,48,TX,1460,4.6173987,1.0236397,14.6,182.5751,175.37363,86.02260600000001,0.5681836766171989,35.503916742138,67.839897,3.4357646,29.86680222,0.0,39.5,10.54684984683991,15.02423286,-13.815510999999999,6.7497678,9.647556221917805,40.13291186575343,126.66666000000001,76.69902802,68.15505981,3.48615098,17.15071297,14.19664288,66.37889862,38.56948853,66017.0,34.32574463,48439105502,32.66282,-97.37931
1779,130401,48439105502,2015,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48439,48,TX,1659,4.6971625999999995,0.86186677,19.2,172.93423,181.43585,89.759872,0.7227263264341711,37.5624057589215,77.778328,14.287870999999999,30.69954872,0.7054255984151,39.5,10.54684984683991,8.70098019,-13.815510999999999,6.369940799999999,10.11177479452056,39.26035506849314,110.33333999999999,79.59551239,75.43328094,5.1380372,22.69835854,18.65771866,60.53691483,34.75836563,46544.0,44.55041122,48439105502,32.66282,-97.37931
1780,130402,48439105503,2010,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48439,48,TX,1036,4.5116305,0.5616188,60.2,184.29756,186.32013999999998,86.504013,0.5649852057046091,35.1186152455968,63.878403000000006,2.6824167,28.13970757,16.4236346,38.1,11.96357530355454,12.27509022,-13.815510999999999,6.636890400000001,9.57162387123288,40.19812677808218,126.66666000000001,87.26342773,83.60313416,4.22960758,6.58484316,8.1130352,68.23154449,39.48370743,66296.0,21.00840378,48439105503,32.65339,-97.39704
1781,130403,48439105503,2015,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48439,48,TX,1042,4.6007924000000004,0.6367625,48.2,171.71161,186.47628999999998,89.39875,0.7650836235373604,36.725444487526104,74.877441,12.450446000000001,36.590480799999995,8.934744867716802,38.1,11.96357530355454,6.22824001,-13.815510999999999,6.324486299999999,10.06712219178083,39.32978109589041,110.33333999999999,77.94117737000002,85.05692291,5.46187687,9.64733791,8.808724399999997,69.21141052,37.79499817,62500.0,58.05243301,48439105503,32.65339,-97.39704
1782,130404,48439105505,2010,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48439,48,TX,1147,4.7243485,1.2093893999999998,6.0,201.97403,214.7395,88.727409,0.6977662277908996,36.1584745295565,56.634624,1.6517848999999998,36.51930237,1.3086316999999998,49.4,12.867130875587462,4.63320446,-13.815510999999999,6.7322006,9.62836896438356,40.1309816712329,126.66666000000001,70.27919006,81.46698761,4.82029629,22.23880577,9.26675606,34.50292206,33.56934357,41128.0,44.71947098,48439105505,32.67107,-97.39344
1783,130405,48439105505,2015,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48439,48,TX,1503,4.8076982,0.92625159,0.0,203.41318,227.16609,92.597015,0.8046330826434057,37.3072115738578,68.22644,10.860599,42.92388153,0.030584992593799997,49.4,12.867130875587462,2.24957561,-13.815510999999999,6.3736558,10.07795095890411,39.3285084931507,110.33333999999999,85.28269195999998,82.04903412,18.10089111,25.52247047,12.89622211,37.73339081,54.24115753,52807.0,57.16215897,48439105505,32.67107,-97.39344
1784,130406,48439105507,2010,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48439,48,TX,1297,4.372992,-0.67969221,86.5,204.32613999999998,228.13115,80.86586,0.5215998994422815,35.43408205145771,41.510436999999996,5.464306400000001,69.64286041,2.2405904999999997,33.2,9.23781442642212,7.69922161,-13.815510999999999,6.624207000000001,9.474049758904108,40.28274679452056,126.66666000000001,91.96225739,81.75895691,8.0478344,3.01258993,1.1035378,57.44888306,68.29857635,92159.0,13.61702061,48439105507,32.66425,-97.43204
1785,130407,48439105507,2015,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48439,48,TX,1145,4.511480799999999,0.40626159,40.0,214.58809,236.77553999999998,92.450478,0.8628921088624449,36.244222142461,48.513119,11.174665,64.2857132,2.3160661202286,33.2,9.23781442642212,5.71685123,-13.815510999999999,6.2470341,10.008133698630141,39.46448273972602,110.33333999999999,94.0490036,79.35026550000002,11.47068214,3.01776958,1.71428561,54.82539368,67.23724365,101189.0,19.77240372,48439105507,32.66425,-97.43204
1786,130408,48439105508,2010,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48439,48,TX,1436,4.500181700000001,0.18690719,16.9,203.66946000000002,226.63457000000002,91.038857,0.512199561405535,35.3483810850226,50.464165,10.36484,41.12823105,1.5982798999999999,40.2,12.920345306396479,5.24911022,-13.815510999999999,6.6249633,9.508082945205489,40.25874562191781,126.66666000000001,81.19194031000002,81.97998047,5.65038252,12.30842209,5.66510201,33.11423874,45.02587509,47313.0,43.13967896,48439105508,32.65475,-97.41694
1787,130409,48439105508,2015,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48439,48,TX,1994,4.6161928,0.5799498000000001,23.0,218.37694,244.97418,95.056335,0.7304510466566277,36.311283329584704,57.719139,12.781839,45.15266418,1.107027784534,40.2,12.920345306396479,5.12671137,-13.815510999999999,6.2946157,10.04149232876712,39.400317534246575,110.33333999999999,82.76239777000002,85.10076141,5.1064992,6.54450274,11.45225716,35.21645737,54.65968704,51392.0,53.06827927,48439105508,32.65475,-97.41694
1788,130410,48439105510,2010,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48439,48,TX,2460,4.356902099999999,-0.96880066,40.1,192.58156,202.11362,86.742455,0.5105728143360353,34.9907210300708,56.846043,10.256210000000001,29.74025917,4.4578143,35.1,12.452007055282591,4.80863619,-13.815510999999999,6.5662107,9.53779368767124,40.253167326027395,126.66666000000001,78.608284,74.88694763,5.42495489,22.58444595,17.457044600000003,56.01374435,36.03896332,57353.0,46.85803223,48439105510,32.63589,-97.40329
